Air submersion.                                                               19-09-2019
                                                                                       |
e: Nuclide-specific effective dose rate coefficient          (nSv h-1 Bq-1 m3)         |
h: Nuclide-specific ambient dose equivalent rate coefficient (nSv h-1 Bq-1 m3)         |
k: Nuclide-specific air kerma free in air rate coefficient   (nGy h-1 Bq-1 m3)         |
----------------------------------------------------------------------------------------
                e                                                     h        k       |
Nuclide             Adult    15 yr    10 yr     5 yr     1 yr  Newborn                 |
----------------------------------------------------------------------------------------
Am-244           1.23E-01 1.28E-01 1.30E-01 1.37E-01 1.42E-01 1.49E-01 2.25E-01 1.79E-01
Am-244m          3.61E-03 3.61E-03 3.77E-03 3.87E-03 4.17E-03 4.82E-03 4.80E-03 4.20E-03
Am-245           4.45E-03 4.69E-03 4.87E-03 5.18E-03 5.36E-03 5.63E-03 9.45E-03 6.49E-03
Am-246           1.10E-01 1.14E-01 1.17E-01 1.24E-01 1.28E-01 1.35E-01 2.11E-01 1.63E-01
Am-246m          1.60E-01 1.68E-01 1.69E-01 1.78E-01 1.84E-01 1.93E-01 2.76E-01 2.23E-01
Am-247           1.82E-02 1.91E-02 2.00E-02 2.13E-02 2.21E-02 2.35E-02 3.96E-02 2.72E-02
Ar-37            0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
Ar-39            3.56E-04 3.57E-04 3.54E-04 3.53E-04 3.55E-04 3.43E-04 7.40E-05 6.27E-05
Ar-41            2.19E-01 2.30E-01 2.31E-01 2.41E-01 2.47E-01 2.61E-01 3.61E-01 2.97E-01
Ar-42            3.93E-04 3.92E-04 3.89E-04 3.87E-04 3.88E-04 3.78E-04 8.36E-05 7.00E-05
Ar-43            2.70E-01 2.81E-01 2.87E-01 3.00E-01 3.10E-01 3.29E-01 4.32E-01 3.55E-01
Ar-44            3.35E-01 3.50E-01 3.52E-01 3.66E-01 3.74E-01 3.94E-01 5.43E-01 4.47E-01
As-68            6.20E-01 6.45E-01 6.63E-01 6.95E-01 7.20E-01 7.60E-01 1.06E+00 8.42E-01
As-69            1.79E-01 1.84E-01 1.92E-01 2.04E-01 2.12E-01 2.25E-01 3.33E-01 2.51E-01
As-70            6.98E-01 7.27E-01 7.38E-01 7.74E-01 7.97E-01 8.37E-01 1.20E+00 9.63E-01
As-71            8.48E-02 8.84E-02 9.12E-02 9.67E-02 9.95E-02 1.04E-01 1.68E-01 1.23E-01
As-72            2.82E-01 2.92E-01 3.00E-01 3.16E-01 3.28E-01 3.46E-01 5.12E-01 3.96E-01
As-73            4.40E-04 4.75E-04 5.10E-04 5.88E-04 6.45E-04 6.95E-04 1.49E-03 1.32E-03
As-74            1.15E-01 1.18E-01 1.22E-01 1.29E-01 1.33E-01 1.40E-01 2.17E-01 1.65E-01
As-76            6.97E-02 7.14E-02 7.50E-02 7.90E-02 8.36E-02 8.99E-02 1.21E-01 9.36E-02
As-77            1.57E-03 1.63E-03 1.67E-03 1.75E-03 1.78E-03 1.84E-03 2.59E-03 1.83E-03
As-78            2.22E-01 2.30E-01 2.37E-01 2.48E-01 2.58E-01 2.74E-01 3.71E-01 2.98E-01
As-79            8.26E-03 7.97E-03 9.03E-03 9.40E-03 1.08E-02 1.29E-02 1.09E-02 8.27E-03
At-204           3.52E-01 3.64E-01 3.76E-01 3.98E-01 4.12E-01 4.32E-01 6.69E-01 5.08E-01
At-205           1.79E-01 1.86E-01 1.90E-01 2.00E-01 2.07E-01 2.18E-01 3.25E-01 2.53E-01
At-206           3.84E-01 3.99E-01 4.08E-01 4.31E-01 4.46E-01 4.67E-01 7.12E-01 5.47E-01
At-207           3.24E-01 3.38E-01 3.42E-01 3.59E-01 3.70E-01 3.88E-01 5.69E-01 4.52E-01
